No,Title,Acceptance,Frequency,Easy,Hard,Medium,Array,Hash Table,String,Counting,Sorting,Breadth-First Search,Binary Search,Dynamic Programming,Sliding Window,Rolling Hash,Hash Function,Backtracking,Matrix,Trie,Simulation,Linked List,Divide and Conquer,Heap (Priority Queue),Merge Sort,Two Pointers,Design,Data Stream,Bucket Sort,Quickselect,Recursion
811,Subdomain Visit Count,76.1%,3.518387198801406,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,Alert Using Same Key-Card Three or More Times in a One Hour Period,45.8%,2.602689685444384,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1197,Minimum Knight Moves,40.3%,2.5707380856377813,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1160,Find Words That Can Be Formed by Characters,70.7%,2.005333569526114,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
718,Maximum Length of Repeated Subarray,51.0%,1.7661826274384054,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Word Search,41.4%,0.8504851140813827,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
212,Word Search II,36.2%,0.3030501026800949,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
68,Text Justification,42.7%,0.1100008952143285,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,Merge k Sorted Lists,52.2%,0.0611188150560455,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
295,Find Median from Data Stream,51.8%,0.054808236494995,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
347,Top K Frequent Elements,62.7%,0.0399343213430643,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
21,Merge Two Sorted Lists,64.0%,0.0248014916802498,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
88,Merge Sorted Array,49.2%,0.0080548160021416,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
