No,Title,Acceptance,Frequency,Easy,Hard,Medium,Array,Heap (Priority Queue),Dynamic Programming,Greedy,Bit Manipulation,Prefix Sum,Hash Table,Linked List,Design,Doubly-Linked List,Math,Randomized,Binary Search,Stack,Depth-First Search,Breadth-First Search,Union Find,Graph,Two Pointers,Matrix,String,Recursion,Memoization,Divide and Conquer,Sorting,Counting Sort,Monotonic Stack,Quickselect,Tree,Binary Search Tree,Binary Tree,Sliding Window,Counting
1046,Last Stone Weight,65.3%,1.2215314813527138,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2571,Minimum Operations to Reduce an Integer to 0,53.7%,0.9186459991486194,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1664,Ways to Make a Fair Array,63.3%,0.6157605169445252,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,LRU Cache,42.2%,0.3866059883710684,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,Shuffle an Array,58.2%,0.291910408561302,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1146,Snapshot Array,37.1%,0.291910408561302,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2816,Double a Number Represented as a Linked List,49.3%,0.2231435513142097,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1319,Number of Operations to Make Network Connected,62.6%,0.1901442824751636,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2433,Find The Original Array of Prefix Xor,88.2%,0.1451820098444979,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1570,Dot Product of Two Sparse Vectors,89.9%,0.1279698809633765,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,Maximal Square,46.3%,0.1164103518444112,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
921,Minimum Add to Make Parentheses Valid,75.1%,0.0962280320945537,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
188,Best Time to Buy and Sell Stock IV,42.2%,0.0959969144083997,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Intersection of Two Linked Lists,57.0%,0.085522173438162,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Best Time to Buy and Sell Stock,53.5%,0.0644922580393232,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,Fibonacci Number,70.8%,0.061960627359177,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
190,Reverse Bits,57.9%,0.0619392994402906,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48,Rotate Image,73.8%,0.0567259814007775,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
540,Single Element in a Sorted Array,59.0%,0.0542138165941474,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Reverse Linked List II,47.5%,0.047122970130097,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,H-Index,38.8%,0.0458796057506936,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
138,Copy List with Random Pointer,55.5%,0.0450526639409431,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Add Two Numbers,42.4%,0.0382547243230242,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
287,Find the Duplicate Number,59.4%,0.0277795641070757,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Trapping Rain Water,60.8%,0.0214026361143847,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
215,Kth Largest Element in an Array,66.8%,0.0207583997717806,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
98,Validate Binary Search Tree,32.8%,0.0206512243504317,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
