No,Title,Acceptance,Frequency,Easy,Hard,Medium,Linked List,Stack,Design,Doubly-Linked List,Ordered Set,Array,Dynamic Programming,Tree,Depth-First Search,Binary Tree,Sliding Window,String,Hash Table,Breadth-First Search,Graph,Greedy,Math,Enumeration,Number Theory,Two Pointers,Sorting,Backtracking,Matrix,Monotonic Stack,Topological Sort,Recursion,Divide and Conquer
716,Max Stack,45.0%,1.0596706232029895,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2291,Maximum Profit From Trading Stocks,45.0%,0.8286926725561692,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,Binary Tree Longest Consecutive Sequence,53.4%,0.6061358035703156,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1052,Grumpy Bookstore Owner,57.0%,0.5790338737925242,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2472,Maximum Number of Non-overlapping Palindrome Substrings,39.6%,0.5623075796011341,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
697,Degree of an Array,56.4%,0.4855078157817007,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,LFU Cache,44.0%,0.2545298651348804,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
863,All Nodes Distance K in Binary Tree,64.3%,0.2418131691567658,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Populating Next Right Pointers in Each Node II,52.1%,0.1042610103244094,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Keys and Rooms,72.7%,0.0928741250064437,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
409,Longest Palindrome,53.9%,0.0924445325220012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
116,Populating Next Right Pointers in Each Node,62.3%,0.0830352286099903,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Longest Substring Without Repeating Characters,34.5%,0.0645385211375711,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,LRU Cache,42.2%,0.0642619342183691,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Count Primes,33.5%,0.0635134057223258,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
75,Sort Colors,61.7%,0.0417113291862864,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
79,Word Search,41.4%,0.0350605586257315,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
103,Binary Tree Zigzag Level Order Traversal,58.6%,0.0349075582108019,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Longest Palindromic Substring,33.7%,0.0308349197770072,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Trapping Rain Water,60.8%,0.0306981813528412,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
207,Course Schedule,46.6%,0.0306537410910024,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
189,Rotate Array,40.3%,0.0295588022415444,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
50,"Pow(x, n)",34.5%,0.0193616890491459,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
53,Maximum Subarray,50.6%,0.0190039502976453,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
283,Move Zeroes,61.6%,0.0140550451436444,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
121,Best Time to Buy and Sell Stock,53.5%,0.0109503466752518,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Valid Parentheses,40.5%,0.0073923825831765,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
