Tag,Acceptance rate
Binary Tree,[-8.18940424e+12]
Segment Tree,[-3.9018801e+12]
Topological Sort,[-1.298254e+12]
Shell,[0.06054688]
String Matching,[0.25878906]
Interactive,[0.28222656]
Trie,[0.30175781]
Doubly-Linked List,[0.33203125]
Depth-First Search,[0.35253906]
Math,[0.37207031]
Sliding Window,[0.37207031]
Divide and Conquer,[0.39550781]
Bucket Sort,[0.41113281]
Binary Search,[0.41308594]
Queue,[0.42285156]
Dynamic Programming,[0.42285156]
Two Pointers,[0.42382812]
Bit Manipulation,[0.42480469]
Greedy,[0.42578125]
Prefix Sum,[0.43457031]
Design,[0.44042969]
Counting,[0.44140625]
String,[0.44433594]
Union Find,[0.4453125]
Recursion,[0.44726562]
Hash Function,[0.45019531]
Radix Sort,[0.45019531]
Counting Sort,[0.45019531]
Monotonic Queue,[0.453125]
Memoization,[0.45800781]
Stack,[0.45996094]
Hash Table,[0.46484375]
Database,[0.46582031]
Monotonic Stack,[0.47558594]
Sorting,[0.47558594]
Linked List,[0.48339844]
Array,[0.48632812]
Breadth-First Search,[0.48632812]
Ordered Set,[0.49804688]
Merge Sort,[0.50292969]
Heap (Priority Queue),[0.50390625]
Randomized,[0.5078125]
Matrix,[0.51757812]
Bitmask,[0.52148438]
Binary Search Tree,[0.52148438]
Quickselect,[0.54199219]
Simulation,[0.56152344]
Backtracking,[0.58300781]
Enumeration,[0.59277344]
Number Theory,[0.69726562]
Iterator,[2.51233669e+11]
Graph,[1.298254e+12]
Binary Indexed Tree,[3.9018801e+12]
Data Stream,[3.99392686e+12]
Tree,[8.18940424e+12]
