Tag,Acceptance rate
Greedy,[0.36220955]
Eulerian Circuit,[0.38335131]
Sliding Window,[0.39454861]
Monotonic Queue,[0.39815318]
Shortest Path,[0.40910116]
Doubly-Linked List,[0.42577607]
Merge Sort,[0.42686654]
String,[0.44539834]
Binary Search,[0.45785683]
Dynamic Programming,[0.46169015]
String Matching,[0.46564829]
Bucket Sort,[0.47895237]
Sorting,[0.48592744]
Recursion,[0.48893702]
Math,[0.48911629]
Monotonic Stack,[0.49204032]
Interactive,[0.50078134]
Binary Indexed Tree,[0.51176321]
Ordered Set,[0.51176321]
Counting,[0.5151744]
Union Find,[0.51619222]
Trie,[0.52032899]
Linked List,[0.52070456]
Graph,[0.52552193]
Breadth-First Search,[0.53235693]
Randomized,[0.53576248]
Topological Sort,[0.53576248]
Array,[0.53576623]
Binary Tree,[0.53771115]
Tree,[0.53771115]
Quickselect,[0.55372517]
Matrix,[0.55490829]
Hash Table,[0.5632929]
Bit Manipulation,[0.56570992]
Two Pointers,[0.5673925]
Backtracking,[0.57326253]
Simulation,[0.57952578]
Stack,[0.590023]
Memoization,[0.59126146]
Design,[0.59482995]
Divide and Conquer,[0.59716929]
Depth-First Search,[0.59895841]
Heap (Priority Queue),[0.60861238]
Binary Search Tree,[0.62404962]
Prefix Sum,[0.65062857]
Data Stream,[0.65368059]
Database,[0.65867248]
Queue,[0.68052397]
