Name,Search Keyword,Resource Path,skills
.net,.net in tech,group/.net.html,[nhibernate][nuget][net maui][.net core][.net maui][.net][nethereum][ado.net][dapper]
programming,programming in tech,group/programming.html,[ruby][c][es6][prolog][directx][decrypt][encapsulation][julia][r][scala][coroutines][bash][lisp][deserialization][inheritance][ocaml][junit jupiter][f#][mapreduce][asynchronous][flow][delphi][file io][elixir][perl][rxkotlin][objective c][scratch][shader][hexadecimal][lambda][plc][clojure][solidity][fortran][lua][racket][raku][reactivecocoa][structs][xen][zig][swift][assembly][mobx][rust][dom][d][matlab][gdscript][oop][polymorphism][ood][serialization][haskell][class][socket][apl][rustover][cplex][abstraction][ada][c#][object][crystal][kotlin][octave][erlang][typescript][spring integration][jruby][object-oriented][programming]
security,security in tech,group/security.html,[vkey][access control][fortify][netegrity][security montioring][veeam][security monitoring][graylog][aquasec][manageengine][dlp][saml][gemalto][x-pack][suricata][whitesource][ninjaone][pinpoint][ssl][blackduck][druva][checkmarx][cobalt][security onion][sonarlint][spring security][vault][astra security][encrypt]
apache,apache in tech,group/apache.html,[jdo][pivot][opennlp][axiom][celix][airflow][openjpa][orc][fop][singa][systemds][synapse][tcl][flume][pr][activiti][logging][nifi][myface][carbondata][jmeter][tomee][wicket][rocketmq][cayenne][messos][samza][drill][hive][apache][phonegap][shiro][beam][aries][kylin][scimple][cassandra][geronimo][hdfs][zookeeper][hbase][cloudstack][superset][axis][spamassassin][karaf][mahout][mina][poi][spark][iotdb][calcite][freemarker][camel][pig][apisix][derby][helix][turbine][avro][phoenix][hortonworks][mesos][flink][impala][flex][lucene core][kafka][jena][pinot][groovy][oozie][james][ignite][cxf][roller][tomcat][log4net][kudu][sling][pdfbox][bcel][ant][nutch][mod perl][ofbix][mynewt][fluo][druid][xmlbeans][ldap][commons][storm][batik][iceberg][lucene][tika][tinkerpop][ftp server][jackrabbit][geronimmo][ambari][gump][netbeans][openoffice][cordova][qpid][solr][tapestry][traffic server][bloodhound][yetus][activemq][maven][brooklyn][fortress][log4j][rampart][royale][airavata][parquet][cacoon][struts][xerces][http server][mxnet][xalan][sparkml][subversion][arrow][felix][velocity][accumulo][nuttx][hadoop][empire-db][couchdb]
cloud,cloud in tech,group/cloud.html,[domo][private cloud][vpc][datadog][data extraction][hevo data][boomi][servicenow][chartblocks][databricks][mulesoft][pcf][envoy][virtuozzo][idrive][cloudsfer][periscope][acronis cyber protect][qualys][tracisci][vreazlise][tosca][yugabytedb][streamsets][salesforce][backblaze][citrix][elasticip][glacier][codepush][solarwinds][amazon vpc][nakivo][bitbucket][spanner][alibaba cloud][mailgun][vercel][spring cloud][sonarcloud][fcm][beelin][papertrail][cloudfoundry][cloudera][spring gateway][browserstack][cft][helidon][rackspace][parcel][fivetran][suse][auvik][snowflake][spinnaker][micronaut][playcanvas][digitalocean][pinecone][openstack][fbackup][hybrid cloud][heroku][public cloud]
design pattern,design pattern in tech,group/design pattern.html,[component][behavioral][facade][lock][singleton][state][multition][structural][adapter][dependency injection][join][prototype][actors][design pattern][visitor][lazy][creational][decorator][object pool][strategy][observer][aspnet mvc][builder][factory]
oracle,oracle in tech,group/oracle.html,[epm][adf][oracle database][oracle linux][oracle sql][oracle net][oracle cloud][oracle virtual box][toad][siebel][essbase][oracle c][soa]
distributed,distributed in tech,group/distributed.html,[istio][rpc][elb][loadrunner][iota][ejb][gemfire][elasticsearch][hedera][akka][celery][tibco][aerospike][scylladb][mercurial][presto][riak][hysterix][distributed systems][foundationdb][lightgbm][etcd][eventbus][git][opentsdb][voldemort][dds][alfresco][jaeger][nats][couchbase][h2o]
ios,ios in tech,group/ios.html,[ios][xamarin][calabash][ios sdk][afnetworking]
google,google in tech,group/google.html,[cloud tasks][tfx][google slides][alloydb][grpc][apigee][google kubernetes engine][gwt][pub sub][google cloud monitoring][memorystore][google compute engine][agile][cloud sql][gke][google cloud][google analytics][google cloud storage][dart][tiered][cloud build][dataproc][firestore][google docs][mongodb atlas][firebase][google sheets]
artificial intelligence,artificial intelligence in tech,group/artificial intelligence.html,[jasper][csv][stylus][datax][swarm][datarobot][pax][workbench][zenoss][sprint][aiops][pullreview][vertex ai][clair][strata][hal][sr sam 34 35][attunity][openvino][datastax]
javascript,javascript in tech,group/javascript.html,[ajax][angular][es5][eslint][c4.js][ember][es7][grunt][gulp][redux][socketio][qwik][devexpress][inversify][chart.js][greensock][sailsjs][meteor][cesiumjs][cypress][charts.js][chai][phaser][web3.js][babel][node.js][jquery][svelte][selenium][knockoutjs][canvasjs][extjs][jest][solidjs][javascript][fusioncharts][mootools][rollup.js][vanillajs][pug][webpack][d3][jshint][immutable.js][sinonjs][lerna][amcharts][es2015][npm][postcss][angular.js][durandaljs][jslint][polly.js][mermaid][deno][three.js][casperjs]
network,network in tech,group/network.html,[network montioring][gephi][load balancer][observium][reliability][solace][nfs][akamai][laplink][architecture][jobserver][sui network][mac address][ripple][twistlock][zigbee][subnet mask][network topology][tcpflow][subnet][network protocol][open vpn][network devices][algosec][firewall][ast][fabric][area network][network monitoring][cnn][sockets][tenable nessus][consul][prtg][yolo][toplink][ip address][loopback][server][language model][glusterfs][netcrunch][kentik][snort][gogs][zeek][wireshark][cloudflare][nessus]
azure,azure in tech,group/azure.html,[azure data lake][cosmodb][azure container][azure montior][arm][azure elastic san][azure managed disks][hd insights][azure migration][azure container storage][azure tables][azure file][azure queues][azure virtual machines][aks][azure ai][hdinsight][service bus][vsts][azure pipelines][elastic][azure]
json,json in tech,group/json.html,[json][alamofire][jwe][messagepack][jwt]
web,web in tech,group/web.html,[oauth2][fiddler][ktor][websockets][expressjs][easeus][ecmascript][high charts][haproxy][scrapy][cakephp][jupyter][esp32][allura][mvt][web crawler][lit][soapui][asp.net core][aspx][ulkit][elementor][nikto][openapi][htmlunit][grails][rvest][remix][nuxtjs][infogram][pyspider][liferay][jsp][rwd][jamstack][foundation][wpbakery][testrail][dotnetnuke][wsdl][electron][w3af][gitlab][doxia][figma][gurobi][webrtc][domain name system][fastify][protractor][babylon.js][django rest][github][memcached][paw][koajs][flask][phabricator][ruby on rails][fastapi][mojolicious][asp.mvc][nginx][wordpress][alerta][sketch][undertow][ie10+][signalr][featherjs][pwa][spring batch][cpanel][blazor][varnish][express][asp.net][play][respondjs][flaskapi][webgl][heron][spring web][esri]
big data,big data in tech,group/big data.html,[kms][hdp][alluxio][mapr][greenplum]
data analytics,data analytics in tech,group/data analytics.html,[rapidminer][experian][knime][qlikview][alteryx]
amazon,amazon in tech,group/amazon.html,[sns][documentdb][amazon lambda][timestream][sqs][codebuild][amazon lake formation][drs][code commit][amazon codepipeline][redshift][ebs][aws cdk][aws sam][ecs][glue][elasticcache][emr][sagemaker][codepipeline][fsx][aws device farm][aws appsync][cognito][neptune][amplify][cloudfront][athena][amazon web services][metastore][route53][eks][s3][fargate][elasticache][lake formation][cloudformation][ec2][codedeploy][kinesis][amazon file cache][aurora][rds]
protocol,protocol in tech,group/protocol.html,[dhcp][amqp][icp][tcp][rabbitmq][ftp][xmpp][eigrp][udp][syslog][mqtt][odata][mpls][openid][filezilla][ble][http][vrrp][checksum][soap][oidc][ospf][openssl][stm32wl]
python,python in tech,group/python.html,[gensim][locust][sqlalchemy][scikit-learn][pysimplegui][django][stack][pyqt][plotly][dask][beautiful soup][anaconda][pyside2][pytest][deepface][nltk][ansible][python][kedro][requests][gradio][dataframe][selenium base][theano][raspberry pi][panel][ipython][jax][libavg][xarray][geopandas][pyspark][tuple][langchain][seaborn][luigi][numpy][scipy][tkinter][scikit-image][pyforms][streamlit][asyncio][pybrain][mechanicalsoup][jinja]
android,android in tech,group/android.html,[butterknife][hilt][android studio][mvrx][fastlane][android sdk][okhttp][retrofit 2][leakcanary][glide][mvicore][android]
mobile,mobile in tech,group/mobile.html,[realm][angular native][appdna][capacitor][crashlytics][jquery mobile][swiftic][ionic][mobile][konga][garden][nativescript][nomad]
react,react in tech,group/react.html,[material ui][antd][nextjs][react][react.js][chakra ui][rxswift][react native][gatsby]
application programming interface,application programming interface in tech,group/application programming interface.html,[swagger][api gateway][keras][control m][jsdoc][api][esri-leaflet][ws02 apim][gstreamer][scalding][postman][vue.js][jax-rs][vulkan][webhooks][cuda]
penetration,penetration in tech,group/penetration.html,[appcheck][rapid7][penetration testing][astra][nmap][zap][onsecurity]
infrastructure,infrastructure in tech,group/infrastructure.html,[metricbeat][splunk][spacelift][infrastructure code][hashicorp][titan][rundeck][terraform][backbone][pagerduty][zabbix][appdynamics][chef]
cross platform,cross platform in tech,group/cross platform.html,[wxpython][appium][lando][clion][gtk][shadowprotect][uno platform][unity][powershell][lonic][opengl][platform uno][libgdx][corona][pixijs][titanium][silverlight][xampp][avalonia ui][cmake][wax][qt]
apple,apple in tech,group/apple.html,[appkit][arkit][xcode][uikit]
blockchain,blockchain in tech,group/blockchain.html,[binance smart chain][aptos][tezos][neo][ethereum][hyperledger][corda][fantom][quorum][solana][tron][eos][stellar]
continuous delivery,continuous delivery in tech,group/continuous delivery.html,[gocd][argocd]
data structures,data structures in tech,group/data structures.html,[lru cache][pandas][data modeling][data structure][tree][list][graph][queue][array]
