No,Title,Tags,Acceptance,Difficulty,Frequency
1268,Search Suggestions System,[Array][String][Binary Search][Trie][Sorting][Heap (Priority Queue)],65.3%,Medium,2.3668425494567855
2296,Design a Text Editor,[Linked List][String][Stack][Design][Simulation][Doubly-Linked List],43.7%,Hard,1.7047480922384253
526,Beautiful Arrangement,[Array][Dynamic Programming][Backtracking][Bit Manipulation][Bitmask],64.3%,Medium,1.042653635020065
1032,Stream of Characters,[Array][String][Design][Trie][Data Stream],51.9%,Hard,0.8873031950009028
865,Smallest Subtree with all the Deepest Nodes,[Hash Table][Tree][Depth-First Search][Breadth-First Search][Binary Tree],70.3%,Medium,0.6418538861723948
588,Design In-Memory File System,[Hash Table][String][Design][Trie],48.2%,Hard,0.5623075796011341
1326,Minimum Number of Taps to Open to Water a Garden,[Array][Dynamic Programming][Greedy],51.1%,Hard,0.49159426183810306
697,Degree of an Array,[Array][Hash Table],56.4%,Easy,0.48550781578170077
261,Graph Valid Tree,[Depth-First Search][Breadth-First Search][Union Find][Graph],47.9%,Medium,0.401795379219202
792,Number of Matching Subsequences,[Array][Hash Table][String][Binary Search][Dynamic Programming][Trie][Sorting],51.1%,Medium,0.3856624808119847
2016,Maximum Difference Between Increasing Elements,[Array],55.9%,Easy,0.2776317365982795
1492,The kth Factor of n,[Math][Number Theory],66.8%,Medium,0.22767870647960103
378,Kth Smallest Element in a Sorted Matrix,[Array][Binary Search][Sorting][Heap (Priority Queue)][Matrix],62.3%,Medium,0.2265276492984503
179,Largest Number,[Array][String][Greedy][Sorting],35.8%,Medium,0.21357410029805904
115,Distinct Subsequences,[String][Dynamic Programming],46.5%,Hard,0.1330864537962701
557,Reverse Words in a String III,[Two Pointers][String],83.0%,Easy,0.11778303565638346
12,Integer to Roman,[Hash Table][Math][String],64.3%,Medium,0.11743683520286506
49,Group Anagrams,[Array][Hash Table][String][Sorting],68.2%,Medium,0.08796103013128909
116,Populating Next Right Pointers in Each Node,[Linked List][Tree][Depth-First Search][Breadth-First Search][Binary Tree],62.3%,Medium,0.08303522860999034
621,Task Scheduler,[Array][Hash Table][Greedy][Sorting][Heap (Priority Queue)][Counting],58.3%,Medium,0.08252102368800351
695,Max Area of Island,[Array][Depth-First Search][Breadth-First Search][Union Find][Matrix],71.9%,Medium,0.07302513501488987
146,LRU Cache,[Hash Table][Linked List][Design][Doubly-Linked List],42.2%,Medium,0.06426193421836912
91,Decode Ways,[String][Dynamic Programming],34.7%,Medium,0.05667238709891086
210,Course Schedule II,[Depth-First Search][Breadth-First Search][Graph][Topological Sort],50.1%,Medium,0.052436651273043935
735,Asteroid Collision,[Array][Stack][Simulation],44.6%,Medium,0.050135812424355455
200,Number of Islands,[Array][Depth-First Search][Breadth-First Search][Union Find][Matrix],58.5%,Medium,0.04900272661044917
229,Majority Element II,[Array][Hash Table][Sorting][Counting],51.2%,Medium,0.04180336980436055
105,Construct Binary Tree from Preorder and Inorder Traversal,[Array][Hash Table][Divide and Conquer][Tree][Binary Tree],63.5%,Medium,0.03964840421133749
124,Binary Tree Maximum Path Sum,[Dynamic Programming][Tree][Depth-First Search][Binary Tree],39.9%,Hard,0.0377047490242394
39,Combination Sum,[Array][Backtracking],71.0%,Medium,0.02511117506693104
42,Trapping Rain Water,[Array][Two Pointers][Dynamic Programming][Stack][Monotonic Stack],60.8%,Hard,0.021402636114384706
347,Top K Frequent Elements,[Array][Hash Table][Divide and Conquer][Sorting][Heap (Priority Queue)][Bucket Sort][Counting][Quickselect],62.7%,Medium,0.01786559353540935
20,Valid Parentheses,[String][Stack],40.5%,Easy,0.016556669594447675
3,Longest Substring Without Repeating Characters,[Hash Table][String][Sliding Window],34.5%,Medium,0.016529301951210565
33,Search in Rotated Sorted Array,[Array][Binary Search],40.5%,Medium,0.014754970746799198
169,Majority Element,[Array][Hash Table][Divide and Conquer][Sorting][Counting],64.7%,Easy,0.010672459890771873
121,Best Time to Buy and Sell Stock,[Array][Dynamic Programming],53.5%,Easy,0.007374664691267215
