Tag,Acceptance rate
Ordered Set,[0.34675166]
Doubly-Linked List,[0.34835062]
Hash Function,[0.40184382]
Sliding Window,[0.42589026]
String Matching,[0.43860789]
Interactive,[0.45741694]
Counting Sort,[0.45825874]
Queue,[0.46455387]
Binary Indexed Tree,[0.47176111]
Topological Sort,[0.48466127]
Memoization,[0.48665872]
Geometry,[0.48673808]
Recursion,[0.49043092]
Heap (Priority Queue),[0.49106055]
String,[0.49747216]
Two Pointers,[0.50030623]
Binary Search,[0.50287547]
Enumeration,[0.50523654]
Math,[0.50660182]
Binary Tree,[0.50715649]
Breadth-First Search,[0.50771373]
Merge Sort,[0.50951163]
Database,[0.51198487]
Array,[0.51251678]
Radix Sort,[0.5127053]
Shortest Path,[0.51638088]
Greedy,[0.51699278]
Graph,[0.51940833]
Number Theory,[0.52168644]
Hash Table,[0.52633152]
Stack,[0.53264145]
Dynamic Programming,[0.53373789]
Game Theory,[0.53625911]
Eulerian Circuit,[0.53625911]
Binary Search Tree,[0.53859372]
Bit Manipulation,[0.54139184]
Prefix Sum,[0.54579752]
Trie,[0.5515194]
Sorting,[0.55637111]
Counting,[0.55908871]
Randomized,[0.55982485]
Monotonic Stack,[0.56343641]
Bitmask,[0.56443457]
Union Find,[0.5647283]
Design,[0.56538332]
Tree,[0.57117578]
Simulation,[0.57317504]
Minimum Spanning Tree,[0.5737572]
Depth-First Search,[0.57466991]
Matrix,[0.57479398]
Suffix Array,[0.58131103]
Rolling Hash,[0.58131103]
Data Stream,[0.58314419]
Linked List,[0.58904579]
Divide and Conquer,[0.58973962]
Iterator,[0.60027841]
Quickselect,[0.60865288]
Bucket Sort,[0.63627694]
Backtracking,[0.67197182]
Combinatorics,[0.67697497]
Segment Tree,[0.71646347]
Monotonic Queue,[0.78682465]
