Tag,Acceptance rate
Binary Search,[0.44941205]
Linked List,[0.4499713]
Doubly-Linked List,[0.4499713]
String,[0.45551468]
Math,[0.46322777]
Prefix Sum,[0.46322777]
Randomized,[0.46322777]
Hash Table,[0.46347531]
Design,[0.46749493]
Trie,[0.4693304]
Sorting,[0.47150428]
Array,[0.4747783]
Heap (Priority Queue),[0.49785429]
Bucket Sort,[0.49785429]
Counting,[0.49785429]
Divide and Conquer,[0.49905843]
Quickselect,[0.49905843]
Stack,[0.5018739]
Tree,[0.5018739]
Depth-First Search,[0.5018739]
Queue,[0.5018739]
Iterator,[0.5018739]
