Tag,Minus Acceptance rate
Shell,[-1.73965421e+11]
Segment Tree,[-1.73965421e+11]
Rejection Sampling,[-1.73965421e+11]
Strongly Connected Component,[-1.73965421e+11]
Radix Sort,[-1.73965421e+11]
String Matching,[-1.73965421e+11]
Enumeration,[-1.73965421e+11]
Eulerian Circuit,[-1.73965421e+11]
Binary Search,[-1.73965421e+11]
Monotonic Stack,[-1.73965421e+11]
Number Theory,[-1.73965421e+11]
Counting Sort,[-1.73965421e+11]
Sliding Window,[-1.73965421e+11]
Bitmask,[-1.73965421e+11]
Math,[-1.73965421e+11]
Doubly-Linked List,[-1.73965421e+11]
Dynamic Programming,[-1.73965421e+11]
Rolling Hash,[-1.73965421e+11]
Suffix Array,[-1.73965421e+11]
Brainteaser,[-1.73965421e+11]
String,[-1.73965421e+11]
Greedy,[-1.73965421e+11]
Topological Sort,[-1.73965421e+11]
Array,[-1.73965421e+11]
Heap (Priority Queue),[-1.73965421e+11]
Shortest Path,[-1.73965421e+11]
Prefix Sum,[-1.73965421e+11]
Recursion,[-1.73965421e+11]
Queue,[-1.73965421e+11]
Hash Table,[-1.73965421e+11]
Depth-First Search,[-1.73965421e+11]
Graph,[-1.73965421e+11]
Two Pointers,[-1.73965421e+11]
Randomized,[-1.73965421e+11]
Quickselect,[-1.73965421e+11]
Breadth-First Search,[-1.73965421e+11]
Reservoir Sampling,[-1.73965421e+11]
Geometry,[-1.73965421e+11]
Binary Tree,[-1.73965421e+11]
Bucket Sort,[-1.73965421e+11]
Memoization,[-1.73965421e+11]
Design,[-1.73965421e+11]
Trie,[-1.73965421e+11]
Linked List,[-1.73965421e+11]
Binary Search Tree,[-1.73965421e+11]
Monotonic Queue,[-1.73965421e+11]
Ordered Set,[-1.73965421e+11]
Database,[-1.73965421e+11]
Iterator,[-1.73965421e+11]
Data Stream,[-1.73965421e+11]
Sorting,[-1.73965421e+11]
Union Find,[-1.73965421e+11]
Divide and Conquer,[-1.73965421e+11]
Line Sweep,[-1.73965421e+11]
Simulation,[-1.73965421e+11]
Concurrency,[-1.73965421e+11]
Bit Manipulation,[-1.73965421e+11]
Probability and Statistics,[-1.73965421e+11]
Backtracking,[-1.73965421e+11]
Binary Indexed Tree,[-1.73965421e+11]
Stack,[-1.73965421e+11]
Counting,[-1.73965421e+11]
Interactive,[-1.73965421e+11]
Matrix,[-1.73965421e+11]
Hash Function,[-1.73965421e+11]
Tree,[-1.73965421e+11]
Biconnected Component,[-1.73965421e+11]
Minimum Spanning Tree,[-1.73965421e+11]
Merge Sort,[-1.73965421e+11]
Game Theory,[-1.73965421e+11]
Combinatorics,[-1.73965421e+11]
