Name,Search Keyword,Resource Path,Groups
.net core,.net core,skill/.net core.html,[web development][.net][mobile][microsoft][macos][windows][cross platform][programming][cloud][linux][web]
.net maui,.net maui,skill/.net maui.html,[.net][mobile][microsoft][android][windows][java][cross platform][azure][programming][c#][ios][macos]
.net,.net,skill/.net.html,[machine learning][web development][.net][mobile][cross platform][games][web][microservice]
abstraction,abstraction,skill/abstraction.html,[python][programming][java]
access control,access control,skill/access control.html,[security][network][microsoft]
accumulo,accumulo,skill/accumulo.html,[storage][java][apache][big data][hadoop][distributed]
acronis cyber protect,acronis cyber protect,skill/acronis cyber protect.html,[security][cloud]
activemq,activemq,skill/activemq.html,[java][apache]
activiti,activiti,skill/activiti.html,[python][machine learning][web development][apache][web][programming][artificial intelligence][data science]
actors,actors,skill/actors.html,[distributed][design pattern][java]
ada,ada,skill/ada.html,[c++][programming][spark]
adapter,adapter,skill/adapter.html,[design pattern]
adf,adf,skill/adf.html,[security][mobile][java][oracle][database][web service][web][infrastructure][visualization]
ado.net,ado.net,skill/ado.net.html,[xml][.net][microsoft][relational database]
aerospike,aerospike,skill/aerospike.html,[database][nosql][distributed]
afnetworking,afnetworking,skill/afnetworking.html,[macos][application programming interface][ios]
agile,agile,skill/agile.html,[google]
aiops,aiops,skill/aiops.html,[machine learning][artificial intelligence][ibm][analytics][infrastructure][big data][monitoring]
airavata,airavata,skill/airavata.html,[distributed][cloud][apache]
airflow,airflow,skill/airflow.html,[python][apache][web][monitoring]
ajax,ajax,skill/ajax.html,[xml][html][javascript][css][web]
akamai,akamai,skill/akamai.html,[storage][cloud computing][network][cloud]
akka,akka,skill/akka.html,[distributed]
aks,aks,skill/aks.html,[web development][mobile][microsoft][web][azure][cloud][kubernetes]
alamofire,alamofire,skill/alamofire.html,[application programming interface][network][ios][database][json]
alerta,alerta,skill/alerta.html,[web][monitoring]
alfresco,alfresco,skill/alfresco.html,[web][distributed]
algosec,algosec,skill/algosec.html,[security][cisco][network]
alibaba cloud,alibaba cloud,skill/alibaba cloud.html,[data processing][security][storage][network][relational database][cloud computing][big data][cloud][artificial intelligence]
alloydb,alloydb,skill/alloydb.html,[security][storage][google][database][infrastructure][cloud]
allura,allura,skill/allura.html,[web][application programming interface][apache]
alluxio,alluxio,skill/alluxio.html,[distributed][big data][artificial intelligence][cloud]
alteryx,alteryx,skill/alteryx.html,[data science][geospatial][analytics][data analytics][visualization]
amazon codepipeline,amazon codepipeline,skill/amazon codepipeline.html,[amazon][continuous delivery][continuous deployment]
amazon file cache,amazon file cache,skill/amazon file cache.html,[web service][storage][web][amazon][cloud]
amazon lake formation,amazon lake formation,skill/amazon lake formation.html,[security][amazon]
amazon lambda,amazon lambda,skill/amazon lambda.html,[web service][web][amazon][serverless]
amazon vpc,amazon vpc,skill/amazon vpc.html,[web service][cloud computing][network][application programming interface][web][amazon][cloud]
ambari,ambari,skill/ambari.html,[apache][web][hadoop][monitoring]
amcharts,amcharts,skill/amcharts.html,[web development][javascript][web][visualization]
amplify,amplify,skill/amplify.html,[web service][mobile][storage][frontend][web][backend][amazon]
amqp,amqp,skill/amqp.html,[web][protocol][message queue]
anaconda,anaconda,skill/anaconda.html,[machine learning][python][web][programming][data science]
andriod jetpack,andriod jetpack,skill/andriod jetpack.html,[google][android]
android ndk,android ndk,skill/android ndk.html,[mobile][application programming interface][android][c++]
android sdk,android sdk,skill/android sdk.html,[software development kit][testing][storage][java][android][c++][programming][google]
android studio,android studio,skill/android studio.html,[network][storage][integrated development environment][android]
android,android,skill/android.html,[mobile][storage][network][android][java][programming][google][operating system]
angular native,angular native,skill/angular native.html,[mobile][javascript][ios][android][web]
angular,angular,skill/angular.html,[web][javascript][network]
angular.js,angular.js,skill/angular.js.html,[web][javascript][network]
ansible,ansible,skill/ansible.html,[security][python][devops]
ant,ant,skill/ant.html,[java][apache]
antd,antd,skill/antd.html,[web][react][visualization]
apache atlas,apache atlas,skill/apache atlas.html,[hadoop][apache]
apache common,apache common,skill/apache common.html,[java][apache]
apache,apache,skill/apache.html,[web server][apache][web][cross platform]
api gateway,api gateway,skill/api gateway.html,[security][application programming interface][apache][analytics][backend]
api,api,skill/api.html,[web development][protocol][application programming interface][ibm][web][programming]
apigee,apigee,skill/apigee.html,[security][application programming interface][google][backend][cloud]
apisix,apisix,skill/apisix.html,[application programming interface][apache][microservice][cloud]
apl,apl,skill/apl.html,[programming]
appcheck,appcheck,skill/appcheck.html,[security][application programming interface][network][penetration][web][infrastructure][cloud]
appdna,appdna,skill/appdna.html,[mobile]
appdynamics,appdynamics,skill/appdynamics.html,[cisco][web][infrastructure][monitoring]
appium,appium,skill/appium.html,[python][mobile][testing][java][android][windows][cross platform][programming][javascript][ios][web]
appkit,appkit,skill/appkit.html,[windows][macos][user interface][apple]
aptos,aptos,skill/aptos.html,[analytics][blockchain][network][web][programming]
aquasec,aquasec,skill/aquasec.html,[security][web service][web][amazon][cloud][kubernetes]
arcgis server,arcgis server,skill/arcgis server.html,[web][windows]
architecture,architecture,skill/architecture.html,[network]
arduino ide,arduino ide,skill/arduino ide.html,[integrated development environment]
area network,area network,skill/area network.html,[network]
argocd,argocd,skill/argocd.html,[devops][red hat][continuous delivery][kubernetes]
aries,aries,skill/aries.html,[programming][java][apache]
arkit,arkit,skill/arkit.html,[mobile][android][ios][apple]
arm,arm,skill/arm.html,[testing][microsoft][azure][cloud][json]
array,array,skill/array.html,[programming][google][data structures]
arrow,arrow,skill/arrow.html,[python][apache]
artifactory,artifactory,skill/artifactory.html,[devops]
asp.mvc,asp.mvc,skill/asp.mvc.html,[web application][testing][design pattern][microsoft][web][model view controller]
asp.net core,asp.net core,skill/asp.net core.html,[web development][.net][microsoft][macos][windows][web framework][cross platform][cloud][linux][web]
asp.net mvc,asp.net mvc,skill/asp.net mvc.html,[web application][design pattern][microsoft][database][user interface][web]
asp.net,asp.net,skill/asp.net.html,[web application][web development][.net][microsoft][macos][windows][web framework][c#][javascript][linux][web]
aspnet mvc,aspnet mvc,skill/aspnet mvc.html,[web][user interface][design pattern]
aspx,aspx,skill/aspx.html,[.net][web][programming][c#]
assembly,assembly,skill/assembly.html,[programming]
assertj,assertj,skill/assertj.html,[java][dependencies]
assimp,assimp,skill/assimp.html,[python][mobile][java][android][ios][c++][c#]
ast,ast,skill/ast.html,[machine learning][artificial intelligence][network]
astra security,astra security,skill/astra security.html,[security][web][penetration]
astra,astra,skill/astra.html,[penetration]
asynchronous,asynchronous,skill/asynchronous.html,[web][programming][javascript]
asyncio,asyncio,skill/asyncio.html,[python][network][programming][data science]
athena,athena,skill/athena.html,[application programming interface][storage][infrastructure][amazon][serverless][big data]
attunity,attunity,skill/attunity.html,[machine learning][python][google][analytics][programming][artificial intelligence]
aurora,aurora,skill/aurora.html,[web service][database][relational database][amazon][web]
automated testing,automated testing,skill/automated testing.html,[testing][mobile][web][continuous delivery][continuous integration][devops]
autoprefixer,autoprefixer,skill/autoprefixer.html,[database][css]
auvik,auvik,skill/auvik.html,[network][cloud][monitoring]
availability,availability,skill/availability.html,[system design][cloud]
avalonia ui,avalonia ui,skill/avalonia ui.html,[mobile][.net][web][cross platform]
avro,avro,skill/avro.html,[data processing][java][apache][web][hadoop][big data]
awk,awk,skill/awk.html,[linux][data processing][unix]
aws appsync,aws appsync,skill/aws appsync.html,[mobile][application programming interface][web][amazon][serverless]
aws cdk,aws cdk,skill/aws cdk.html,[python][application programming interface][java][infrastructure][amazon][programming][cloud]
